Décaissement;Encaissement;banques;Ventes;MASSE SALARIALE;Sécurité sociale;Investissements;Travaux;Fournitures non stockables;Dettes;Associe Boubtane Haytam;Associés – Comptes courants
Paiement;Encaissé;banque;Vente;Salariés;URSSAF;Immobilisations;Aménagement;energie;dette;Haytam Boubtane;Compte courant
Paiements;Encaissements;;Chiffre d’affaires;Charges de personnel;;Investis;agencements;eau;dois;Haytam;
Décaissements;;;Honoraires;;;Investi;;electricite;;;
Décaissé;;;Honoraire;;;capex;;edf;;;
payé;;;Prestations;;;;;gaz;;;
Decaissements;;;Prestation;;;;;consommation electrique;;;
decaissement;;;;;;;;consommation de gaz;;;
