A-JournalCode;B-JournalLib;C-EcritureNum;D-EcritureDate;E-CompteNum;F-CompteLib;G-CompAuxNum;H-CompAuxLib;I-PieceRef;J-PieceDate;H-EcritureLib;K-Debit;L-Credit;M-EcritureLet;N-DateLet;O-ValidDate;P-Montantdevise;Q-Idevise;1-Montant;2-Valeur Absolue;3-Mois;4-Trimestre;5-Semestre;6-Année;7-Racine 1;8-Libellé Racine 1;9-Racine 2;10-Libellé Racine 2;11-Racine 3;12-Libellé Racine 3;13-Racine 4;14-Libellé Racine 4;15-Racine 5;16-Libellé Racine 5;17-Bilan;18-Resultat;19-Report à nouveau;20-Trésorerie;21-Banque;22-Caisse;23-Debit/Crédit;24-Encaissements / Décaissements;25-Dettes;26-Ventes;27-Reconnaissance fournisseur;28-Espèces;29-Investissements;30-;31-;32-;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;27500000;DÃ‰PÃ”TS ET CAUTIONNEMENTS VERSÃ‰S;;;Non dispo;20230101;A-nouveaux au 01/01/2023;11063;11;0;;19700101;;;;-11063;11;11063;11;Err :520;Err :520;Err :520;2023;2;Investissements;27;AUTRES IMMOBILISATIONS FINANCIÈRES;275;Dépôts et cautionnements versés;2750;Dépôts et cautionnements versés;27500;Dépôts et cautionnements versés;Bilan;;;;;;D;;;;;;Investissements;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;27520000;CAUTION ELIS;;;Non dispo;20230101;A-nouveaux au 01/01/2023;100;0;;19700101;;;;-100;100;Err :520;Err :520;Err :520;2023;2;Investissements;27;AUTRES IMMOBILISATIONS FINANCIÈRES;275;Dépôts et cautionnements versés;2752;Dépôts et cautionnements versés;27520;Dépôts et cautionnements versés;Bilan;;;;;;D;;;;;;Investissements;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;27550000;CAUTIONNEMENTS;;;Non dispo;20230101;A-nouveaux au 01/01/2023;19500;0;;19700101;;;;-19500;19500;Err :520;Err :520;Err :520;2023;2;Investissements;27;AUTRES IMMOBILISATIONS FINANCIÈRES;275;Dépôts et cautionnements versés;2755;Cautionnements;27550;Cautionnements;Bilan;;;;;;D;;;;;;Investissements;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;28154000;AMORT MATERIEL INDUSTRIEL;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;32168;64;;19700101;;;;32168;64;32168;64;Err :520;Err :520;Err :520;2023;2;Investissements;28;AMORTISSEMENTS DES IMMOBILISATIONS;281;Amortissements des immobilisations corporelles;2815;Installations techniques; matériel et outillage industriels (même ventilation que celle du compte 215);28154;Installations techniques; matériel et outillage industriels (même ventilation que celle du compte 215);Bilan;;;;;;C;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;28181000;AMORT AG CONS DIVERS;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;70533;33;;19700101;;;;70533;33;70533;33;Err :520;Err :520;Err :520;2023;2;Investissements;28;AMORTISSEMENTS DES IMMOBILISATIONS;281;Amortissements des immobilisations corporelles;2818;Autres immobilisations corporelles (même ventilation que celle du compte 218);28181;Autres immobilisations corporelles (même ventilation que celle du compte 218);Bilan;;;;;;C;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;28183000;AMORT MAT BUREAU & INFORMATIQUE;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;7060;97;;19700101;;;;7060;97;7060;97;Err :520;Err :520;Err :520;2023;2;Investissements;28;AMORTISSEMENTS DES IMMOBILISATIONS;281;Amortissements des immobilisations corporelles;2818;Autres immobilisations corporelles (même ventilation que celle du compte 218);28183;Autres immobilisations corporelles (même ventilation que celle du compte 218);Bilan;;;;;;C;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;28184000;AMORT MOBILIER;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;19291;91;;19700101;;;;19291;91;19291;91;Err :520;Err :520;Err :520;2023;2;Investissements;28;AMORTISSEMENTS DES IMMOBILISATIONS;281;Amortissements des immobilisations corporelles;2818;Autres immobilisations corporelles (même ventilation que celle du compte 218);28184;Autres immobilisations corporelles (même ventilation que celle du compte 218);Bilan;;;;;;C;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;31000000;STOCK MATIERES PREMIERES;;;Non dispo;20230101;A-nouveaux au 01/01/2023;6542;0;;19700101;;;;-6542;6542;Err :520;Err :520;Err :520;2023;3;Stocks;31;MATIÈRES PREMIÈRES (ET FOURNITURES);310;Stock de matières premières;3100;Stock de matières premières;31000;Stock de matières premières;Bilan;;;;;;D;;;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;ALEXANN;ALEXANN ;Non dispo;20230101;Facture BH BOULOGNE du 27/12/2022;0;42;;19700101;;;;42;42;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;BEAUTY SUCCESS;BEAUTY SUCCESS;Non dispo;20230101;Facture 202212300004010048 du 30/12/2022;0;468;5;;19700101;;;;468;5;468;5;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;
